A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
X631609;ΔΗΓΜΑ, ΠΥΩΔΗΣ ΣΥΛΛΟΓΗ ΜΑΛΑΚΩΝ ΜΟΡΙΩΝ  - ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631619;ΠΥΟΓΕΝΗΣ ΣΗΠΤΙΚΗ ΑΡΘΡΙΤΙΔΑ ΑΓΚΩΝΑ-  ΑΡΘΡΟΤΟΜΗ , ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631759;ΠΥΟΓΕΝΗΣ ΘΥΛΑΚΙΤΙΔΑ ΩΛΕΚΡΑΝΟΥ-   ΔΙΑΝΟΙΞΗ ΠΑΡΟΧΕΤΕΥΣΗ
X631769;ΚΑΤΑΓΜΑ ΔΙΑΦΥΣΗΣ ΒΡΑΧΙΟΝΙΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631773;ΚΑΤΑΓΜΑ ΔΙΑΦΥΣΗΣ ΒΡΑΧΙΟΝΙΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΕΞΩΤΕΡΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631777;ΚΑΤΑΓΜΑ ΔΙΑΦΥΣΗΣ ΒΡΑΧΙΟΝΙΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΤΟΠΟΘΕΤΗΣΗ ΕΝΔΟΜΥΕΛΙΚΟΥ ΗΛΟΥ
X631789;ΚΑΤΑΓΜΑ ΔΙΑΦΥΣΗΣ ΒΡΑΧΙΟΝΙΟΥ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή ΕΞΩΤΕΡΙΚΗ)
X631799;ΕΞΩΑΡΘΡΙΚΟ ΚΑΤΑΓΜΑ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΒΡΑΧΙΟΝΙΟΥ (ΥΠΕΡΚΟΝΔΥΛΙΟ ΚΑΤΑΓΜΑ Ή ΕΓΚΑΡΣΙΟ ΚΑΤΑΓΜΑ ΔΙΑ ΤΩΝ ΚΟΝΔΥΛΩΝ): ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ (ΜΕ Ή ΧΩΡΙΣ ΣΚΕΛΕΤΙΚΗ ΕΛΞΗ)
X631803;ΕΞΩΑΡΘΡΙΚΟ ΚΑΤΑΓΜΑ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΒΡΑΧΙΟΝΙΟΥ (ΥΠΕΡΚΟΝΔΥΛΙΟ ΚΑΤΑΓΜΑ Ή ΕΓΚΑΡΣΙΟ ΚΑΤΑΓΜΑ ΔΙΑ ΤΩΝ ΚΟΝΔΥΛΩΝ): ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΔΙΑΔΕΡΜΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631807;ΕΞΩΑΡΘΡΙΚΟ ΚΑΤΑΓΜΑ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΒΡΑΧΙΟΝΙΟΥ (ΥΠΕΡΚΟΝΔΥΛΙΟ ΚΑΤΑΓΜΑ Ή ΕΓΚΑΡΣΙΟ ΚΑΤΑΓΜΑ ΔΙΑ ΤΩΝ ΚΟΝΔΥΛΩΝ): ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή ΕΞΩΤΕΡΙΚΗ)
X631813;ΔΙΑΥΠΕΡΚΟΝΔΥΛΙΟ ΚΑΤΑΓΜΑ ΒΡΑΧΙΟΝΙΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ (ΜΕ Ή ΧΩΡΙΣ ΣΚΕΛΕΤΙΚΗ ΕΛΞΗ)
X631817;ΔΙΑΥΠΕΡΚΟΝΔΥΛΙΟ ΚΑΤΑΓΜΑ ΒΡΑΧΙΟΝΙΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΔΙΑΔΕΡΜΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631821;ΔΙΑΥΠΕΡΚΟΝΔΥΛΙΟ ΚΑΤΑΓΜΑ ΒΡΑΧΙΟΝΙΟΥ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή ΕΞΩΤΕΡΙΚΗ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΙ ΤΗ ΧΡΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ
X631957;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΑΝΤΙΒΡΑΧΙΟΥ Ή ΚΑΡΠΟΥ
X631957.1;ΚΑΤΑΓΜΑ ΠΕΡΙΦΕΡΙΚΟΥ ΤΜΗΜΑΤΟΣ ΚΕΡΚΙΔΟΣ ΜΕ Ή ΧΩΡΙΣ ΚΑΤΑΓΜΑ ΣΤΥΛΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ ΩΛΕΝΗΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΕΞΩΤΕΡΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ ΜΕ Ή ΧΩΡΙΣ ΔΙΑΔΕΡΜΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.2;ΕΞΩ-ΑΡΘΡΙΚΟ ΚΑΤΑΓΜΑ ΠΕΡΙΦΕΡΙΚΟΥ ΤΜΗΜΑΤΟΣ ΚΕΡΚΙΔΟΣ ΜΕ Ή ΧΩΡΙΣ ΚΑΤΑΓΜΑ ΣΤΥΛΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΜΕ Ή ΧΩΡΙΣ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΧΡΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ
X631957.3;ΕΝΔΑΡΘΡΙΚΟ ΚΑΤΑΓΜΑ ΠΕΡΙΦΕΡΙΚΟΥ ΤΜΗΜΑΤΟΣ ΚΕΡΚΙΔΟΣ ΜΕ Ή ΧΩΡΙΣ ΚΑΤΑΓΜΑ ΣΤΥΛΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΗ ΧΡΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ
X631957.4;ΚΑΤΑΓΜΑ ΣΚΑΦΟΕΙΔΟΥΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.5;ΚΑΤΑΓΜΑ ΣΚΑΦΟΕΙΔΟΥΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΜΕ Ή ΧΩΡΙΣ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή ΕΞΩΤΕΡΙΚΗ)
X631957.6;ΚΑΤΑΓΜΑ ΜΕΜΟΝΩΜΕΝΟΥ ΟΣΤΟΥ ΤΟΥ ΚΑΡΠΟΥ ΕΚΤΟΣ ΤΟΥ ΣΚΑΦΟΕΙΔΟΥΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ 
X631957.7;ΚΑΤΑΓΜΑ ΜΕΜΟΝΩΜΕΝΟΥ ΟΣΤΟΥ ΤΟΥ ΚΑΡΠΟΥ ΕΚΤΟΣ ΤΟΥ ΣΚΑΦΟΕΙΔΟΥΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΔΙΑΔΕΜΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.8;ΚΑΤΑΓΜΑ ΜΕΜΟΝΩΜΕΝΟΥ ΟΣΤΟΥ ΤΟΥ ΚΑΡΠΟΥ ΕΚΤΟΣ ΤΟΥ ΣΚΑΦΟΕΙΔΟΥΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΕΣΩΤΕΡΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.9;ΚΑΤΑΓΜΑ ΣΤΥΛΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ ΩΛΕΝΗΣ (ΜΕΜΟΝΩΜΕΝΟ): ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.10;ΚΑΤΑΓΜΑ ΣΤΥΛΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ ΩΛΕΝΗΣ (ΜΕΜΟΝΩΜΕΝΟ): ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΔΙΑΔΕΡΜΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.11;ΚΑΤΑΓΜΑ ΣΤΥΛΟΕΙΔΟΥΣ ΑΠΟΦΥΣΗΣ ΩΛΕΝΗΣ (ΜΕΜΟΝΩΜΕΝΟ): ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΕΣΩΤΕΡΙΚΗ Ή ΔΙΑΔΕΡΜΙΚΗ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.12;ΕΞΑΡΘΡΗΜΑ ΚΕΡΚΙΔΟΚΑΡΠΙΚΗΣ ΑΡΘΡΩΣΗΣ Ή ΜΕΣΟΚΑΡΠΙΑΣ ΔΙΑΡΘΡΩΣΗΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.13;ΕΞΑΡΘΡΗΜΑ ΚΕΡΚΙΔΟΚΑΡΠΙΚΗΣ ΑΡΘΡΩΣΗΣ Ή ΜΕΣΟΚΑΡΠΙΑΣ ΔΙΑΡΘΡΩΣΗΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.14;ΕΞΑΡΘΡΗΜΑ ΚΕΡΚΙΔΟΚΑΡΠΙΚΗΣ ΑΡΘΡΩΣΗΣ Ή ΜΕΣΟΚΑΡΠΙΑΣ ΔΙΑΡΘΡΩΣΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΣΥΡΡΑΦΗ ΣΥΝΔΕΣΜΩΝ
X631957.15;ΑΞΟΝΙΚΟ ΕΞΑΡΘΡΗΜΑ ΚΑΡΠΟΥ ΜΕ Ή ΧΩΡΙΣ ΚΑΤΑΓΜΑ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.16;ΑΞΟΝΙΚΟ ΕΞΑΡΘΡΗΜΑ ΚΑΡΠΟΥ ΜΕ Ή ΧΩΡΙΣ ΚΑΤΑΓΜΑ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΔΙΑΔΕΡΜΙΚΗ Ή/ΚΙΑ ΕΞΩΤΕΡΙΚΗ)
X631957.17;ΑΞΟΝΙΚΟ ΕΞΑΡΘΡΗΜΑ ΚΑΡΠΟΥ ΜΕ Ή ΧΩΡΙΣ ΚΑΤΑΓΜΑ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.18;ΕΞΑΡΘΡΗΜΑ ΑΠΩ ΚΕΡΚΙΔΟΩΛΕΝΙΚΗΣ ΔΙΑΡΘΡΩΣΗΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.19;ΕΞΑΡΘΡΗΜΑ ΑΠΩ ΚΕΡΚΙΔΟΩΛΕΝΙΚΗΣ ΔΙΑΡΘΡΩΣΗΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΔΙΑΔΕΡΜΙΚΗ ΣΤΑΘΕΡΟΠΟΙΗΣΗ
X631957.20;ΕΞΑΡΘΡΗΜΑ ΑΠΩ ΚΕΡΚΙΔΟΩΛΕΝΙΚΗΣ ΔΙΑΡΘΡΩΣΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ
X631957.21;ΠΑΛΑΜΙΑΙΟ ΕΞΑΡΘΡΗΜΑ ΜΗΝΟΕΙΔΟΥΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.22;ΠΑΛΑΜΙΑΙΟ ΕΞΑΡΘΡΗΜΑ ΜΗΝΟΕΙΔΟΥΣ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΔΙΑΔΕΡΜΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.23;ΠΑΛΑΜΙΑΙΟ ΕΞΑΡΘΡΗΜΑ ΜΗΝΟΕΙΔΟΥΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.24;ΠΕΡΙΜΗΝΟΕΙΔΕΣ ΕΞΑΡΘΡΗΜΑ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.25;ΠΕΡΙΜΗΝΟΕΙΔΕΣ ΕΞΑΡΘΡΗΜΑ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΔΙΑΔΕΡΜΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.26;ΠΕΡΙΜΗΝΟΕΙΔΕΣ ΕΞΑΡΘΡΗΜΑ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.27;ΠΕΡΙΜΗΝΟΕΙΔΕΣ ΕΞΑΡΘΡΗΜΑ ΜΕ ΚΑΤΑΓΜΑ ΣΚΑΦΟΕΙΔΟΥΣ Ή/ΚΑΙ ΑΛΛΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ
X631957.28;ΠΕΡΙΜΗΝΟΕΙΔΕΣ ΕΞΑΡΘΡΗΜΑ ΜΕ ΚΑΤΑΓΜΑ ΣΚΑΦΟΕΙΔΟΥΣ Ή/ΚΑΙ ΑΛΛΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΚΛΕΙΣΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΔΙΑΔΕΡΜΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.29;ΠΕΡΙΜΗΝΟΕΙΔΕΣ ΕΞΑΡΘΡΗΜΑ ΜΕ ΚΑΤΑΓΜΑ ΣΚΑΦΟΕΙΔΟΥΣ Ή/ΚΑΙ ΑΛΛΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ (ΕΣΩΤΕΡΙΚΗ Ή/ΚΑΙ ΕΞΩΤΕΡΙΚΗ)
X631957.30;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΔΙΑΦΥΣΗΣ ΚΕΡΚΙΔΑΣ Ή ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.31;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΔΙΑΦΥΣΗΣ ΚΕΡΚΙΔΑΣ ΚΑΙ ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.32;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.33;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΩΛΕΝΗΣ: ΑΡΘΡΟΠΛΑΣΤΙΚΗ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΩΛΕΝΗΣ
X631957.34;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΚΕΡΚΙΔΑΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.35;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΚΕΡΚΙΔΑΣ: ΑΡΘΡΟΔΕΣΗ ΠΗΧΕΟΚΑΡΠΙΚΗΣ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.36;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΣΚΑΦΟΕΙΔΟΥΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.37;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ Ή ΚΑΤΑΓΜΑΤΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΜΕΡΙΚΗ ΑΡΘΡΟΔΕΣΗ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.38;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ Ή ΚΑΤΑΓΜΑΤΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΑΦΑΙΡΕΣΗ ΤΟΥ ΚΕΝΤΡΙΚΟΥ ΣΤΙΧΟΥ ΤΟΥ ΚΑΡΠΟΥ
X631957.39;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ Ή ΚΑΤΑΓΜΑΤΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΑΡΘΡΟΠΛΑΣΤΙΚΗ ΜΕΜΟΝΩΜΕΝΟΥ ΟΣΤΑΡΙΟΥ ΤΟΥ ΚΑΡΠΟΥ
X631957.40;ΠΛΗΜΜΕΛΗΣ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ Ή ΚΑΤΑΓΜΑΤΩΝ ΟΣΤΑΡΙΩΝ ΤΟΥ ΚΑΡΠΟΥ: ΑΡΘΡΟΔΕΣΗ ΠΗΧΕΟΚΑΡΠΙΚΗΣ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
X631957.41;ΨΕΥΔΑΡΘΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΔΙΑΦΥΣΗΣ ΚΕΡΚΙΔΑΣ Ή ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΙ ΤΗ ΛΗΨΗ ΤΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ 
X631957.42;ΨΕΥΔΑΡΘΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΔΙΑΦΥΣΗΣ ΚΕΡΚΙΔΑΣ ΚΑΙ ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΙ ΤΗ ΛΗΨΗ ΤΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ 
X631957.43;ΨΕΥΔΑΡΘΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΩΛΕΝΗΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΙ ΤΗ ΛΗΨΗ ΤΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ 
X631957.44;ΨΕΥΔΑΡΘΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΩΛΕΝΗΣ: ΑΡΘΡΟΠΛΑΣΤΙΚΗ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΩΛΕΝΗΣ
X631957.45;ΨΕΥΔΑΡΘΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΚΕΡΚΙΔΑΣ: ΑΝΟΙΚΤΗ ΑΝΑΤΑΞΗ ΚΑΙ ΟΣΤΕΟΣΥΝΘΕΣΗ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ), ΠΕΡΙΛΑΜΒΑΝΕΙ ΚΑΙ ΤΗ ΛΗΨΗ ΤΟΥ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ 
X631957.46;ΨΕΥΔΑΡΘΡΩΣΗ ΠΩΡΩΣΗ ΚΑΤΑΓΜΑΤΟΣ ΠΕΡΙΦΕΡΙΚΟΥ ΑΚΡΟΥ ΚΕΡΚΙΔΑΣ: ΑΡΘΡΟΔΕΣΗ ΠΗΧΕΟΚΑΡΠΙΚΗΣ, ΜΕ Ή ΧΩΡΙΣ ΤΟΠΟΘΕΤΗΣΗ ΟΣΤΙΚΟΥ ΜΟΣΧΕΥΜΑΤΟΣ (ΑΥΤΟΛΟΓΟΥ Ή ΑΛΛΟΜΟΣΧΕΥΜΑΤΟΣ)
