K500001;ΜΥΕΛΟΓΡΑΦΙΑ
K514085;ΥΠΟΛΟΓΙΣΤΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΝΙΧΝΕΥΣΗ (ΑΛΓΟΡΙΘΜΙΚΗ ΑΝΑΛΥΣΗ ΔΕΔΟΜΕΝΩΝ ΨΗΦΙΑΚΗΣ ΕΙΚΟΝΑΣ ΣΕ ΥΠΟΛΟΓΙΣΤΗ ΓΙΑ ΤΗΝ ΑΝΙΧΝΕΥΣΗ ΒΛΑΒΗΣ) ΜΕ ΕΠΙΠΛΕΟΝ ΕΠΙΣΚΟΠΗΣΗ ΑΠΟ ΙΑΤΡΟ ΓΙΑ ΕΡΜΗΝΕΙΑ, ΜΕ, Ή ΑΝΕΥ ΨΗΦΙΟΠΟΙΗΣΗΣ ΦΙΛΜ ΑΚΤΙΝΟΛΟΓΙΚΩΝ ΑΠΕΙΚΟΝΙΣΕΩΝ. ΜΑΣΤΟΓΡΑΦΙΑ SCREENING (ΚΑΤΑΧΩΡΗΣΤΕ ΞΕΧΩΡΙΣΤΑ, ΕΠΙΠΛΕΟΝ ΤΟΥ ΚΩΔΙΚΟΥ ΤΗΣ ΑΡΧΙΚΗΣ ΔΙΑΔΙΚΑΣΙΑΣ)
K514087;ΓΑΛΑΚΤΟΓΡΑΦΙΑ
K514089;ΑΝΕΝΕΡΓΟΣ
K514091;ΑΝΑΛΟΓΙΚΗ ΜΑΣΤΟΓΡΑΦΙΑ
K514093;ΨΗΦΙΟΠΟΙΗΜΕΝΗ ΜΑΣΤΟΓΡΑΦΙΑ
K514095;ΨΗΦΙΑΚΗ ΜΑΣΤΟΓΡΑΦΙΑ
K514097;ΑΝΕΝΕΡΓΟΣ
K514099;ΜΑΓΝΗΤΙΚΗ ΜΑΣΤΟΓΡΑΦΙΑ
K514123;ΑΝΕΝΕΡΓΟΣ
K514125;ΑΝΕΝΕΡΓΟΣ
K514127;ΜΕΛΕΤΕΣ ΜΗΚΟΥΣ ΟΣΤΩΝ - ΑΞΟΝΟΜΕΤΡΗΣΗ (ΣΚΑΝΟΓΡΑΜΜΑ)
K514129;ΑΝΕΝΕΡΓΟΣ
K514131;ΑΝΕΝΕΡΓΟΣ
K514133;ΑΝΕΝΕΡΓΟΣ
K514135;ΑΝΕΝΕΡΓΟΣ
K514137;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΜΕΛΕΤΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ, 1, Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΤΟΠΟΘΕΣΙΕΣ, ΑΞΟΝΙΚΟΥ ΣΚΕΛΕΤΟΥ (ΠΧ, ΙΣΧΙΑ, ΠΥΕΛΟΣ, ΣΠΟΝΔΥΛΙΚΗ ΣΤΗΛΗ)
K514139;ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ, ΜΕΛΕΤΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ, 1 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΘΕΣΕΙΣ. ΠΕΡΙΦΕΡΙΚΟΥ ΣΚΕΛΕΤΟΥ (ΠΧ, ΚΕΡΚΙΔΑ, ΚΑΡΠΟΣ, ΠΤΕΡΝΑ)
K514141;ΜΕΤΡΗΣΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ ΜΕ ΦΩΤΟΝΙΑ ΔΙΠΛΗΣ ΕΝΕΡΓΕΙΑΣ (ΙΣΧΙΟ ή Άλλη Θέση)
K514143;ΜΕΤΡΗΣΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ ΜΕ ΦΩΤΟΝΙΑ ΔΙΠΛΗΣ ΕΝΕΡΓΕΙΑΣ (ΟΣΦΥΙΚΗ ΜΟΙΡΑ ΣΣ)
K514145;ΜΕΤΡΗΣΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ ΜΕ ΥΠΕΡΗΧΟΓΡΑΦΙΑ
K514147;ΜΕΤΡΗΣΗ ΟΣΤΙΚΗΣ ΠΥΚΝΟΤΗΤΑΣ ΜΕ ΑΞΟΝΙΚΗ ΤΟΜΟΓΡΑΦΙΑ
K514149;ΜΗ ΚΑΤΑΓΕΓΡΑΜΕΝΗ ΑΚΤΙΝΟΛΟΓΙΚΗ ΠΡΑΞΗ ΠΑΙΔΩΝ
K514149.1;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΡΑΝΙΟΥ ΚΑΤΑ ΤOWNES
K514149.2;ΑΚΤΙΝΟΓΡΑΦΙΑ ΤΡΑΧΗΛΟΥ ΠΛΑΓΙΑ
K514149.3;ΑΚΤΙΝΟΓΡΑΦΙΑ ΠΑΡΩΤΙΔΟΣ
K514149.4;ΑΚΤΙΝΟΓΡΑΦΙΑ ΥΠΟΓΝΑΘΙΩΝ ΣΙΕΛΟΓΟΝΩΝ ΑΔΕΝΩΝ - ΔΥΟ ΠΡΟΒΟΛΕΣ
K514149.5;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΔΟΝΤΩΝ ΑΝΩ ΓΝΑΘΟΥ
K514149.6;ΑΚΤΙΝΟΓΡΑΦΙΑ ΟΔΟΝΤΩΝ ΚΑΤΩ ΓΝΑΘΟΥ
K514149.7;ΑΚΤΙΝΟΣΚΟΠΙΚΟΣ ΕΛΕΓΧΟΣ ΚΙΝΗΤΙΚΟΤΗΤΑΣ ΦΑΡΥΓΓΑ-ΥΠΟΦΑΡΥΓΓΑ
K514149.8;ΑΚΤΙΝΟΛΟΓΙΚΟΣ ΕΛΕΓΧΟΣ ΚΙΝΗΤΙΚΟΤΗΤΑΣ ΦΑΡΥΓΓΑ-ΥΠΟΦΑΡΥΓΓΑ
K514149.9;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ ΜΕ ΟΡΙΖΟΝΤΙΑ ΔΕΣΜΗ
K514149.10;ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ DECUBITUS
K514149.11;ΑΚΤΙΝΟΓΡΑΦΙΑ ΗΒΙΚΩΝ ΟΣΤΩΝ
K514149.12;ΑΚΤΙΝΟΓΡΑΦΙΑ ΚΕΦΑΛΗΣ ΜΗΡΙΑΟΥ ΟΣΤΟΥ
K514149.13;ΑΚΤΙΝΟΓΡΑΦΙΑ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΓΙΑ ΜΕΛΕΤΗ ΣΚΟΛΙΩΣΗΣ ΟΡΘΙΑ(ΑΠΛΗ ΚΑΙ ΣΕ ΚΑΜΨΗ)
K514149.14;ΑΚΤΙΝΟΓΡΑΦΙΑ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΓΙΑ ΜΕΛΕΤΗ ΣΚΟΛΙΩΣΗΣ ΥΠΤΙΑ (ΑΠΛΗ ΚΑΙ ΣΕ ΚΑΜΨΗ)
K514149.15;ΑΝΑΤΑΞΗ ΕΓΚΟΛΕΑΣΜΟΥ ΣΕ ΠΑΙΔΙ ΜΕ ΥΠΟΚΛΥΣΜΟ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΟ ΕΛΕΓΧΟ
K514149.16;ΑΝΑΤΑΞΗ ΕΓΚΟΛΕΑΣΜΟΥ ΣΕ ΠΑΙΔΙ ΜΕ ΥΠΟΚΛΥΣΜΟ ΥΠΟ ΥΠΕΡΗΧΟΓΡΑΦΙΚΟ ΕΛΕΓΧΟ
K514149.17;ΛΥΣΗ ΕΙΛΕΟΥ ΕΚ ΜΗΚΩΝΙΟΥ ΣΕ ΠΑΙΔΙ ΜΕ ΧΟΡΗΓΗΣΗ ΓΑΣΤΡΟΓΡΑΦΙΝΗΣ ΥΠΟ ΑΚΤΙΝΟΣΚΟΠΙΚΟ ΕΛΕΓΧΟ
K514149.18;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΜΕΣΟΘΩΡΑΚΙΟΥ ΣΕ ΠΑΙΔΙ
K514149.19;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΥΠΕΡΚΛΕΙΔΙΟΥ ΒΟΘΡΟΥ 
K514149.20;ΥΠΕΡΗΧΟΓΡΑΦΗΜΑ ΣΤΟΜΑΧΟΥ ΚΑΙ ΠΥΛΩΡΟΥ ΣΕ ΠΑΙΔΙ
K514149.21;ΑΠΛΗ ΑΚΤΙΝΟΓΡΑΦΙΑ ΘΩΡΑΚΟΣ - ΚΟΙΛΙΑΣ ΣΕ ΝΕΟΓΝΟ
K514503;ΣΧΕΔΙΑΣΜΟΣ ΔΟΜΩΝ ΕΝΔΙΑΦΕΡΟΝΤΟΣ AKTINOΘΕΡΑΠΕΙΑΣ. ΑΠΛΟΣ
K514505;ΣΧΕΔΙΑΣΜΟΣ  ΔΟΜΩΝ ΕΝΔΙΑΦΕΡΟΝΤΟΣ AKTINOΘΕΡΑΠΕΙΑΣ, ΜΕΣΑΙΟΣ  3-ΔΙΑΣΤΑΤΟΣ (3D),  ΓΙΑ ΣΥΜΜΟΡΦΗ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑ Ή 3-ΔΙΑΣΤΑΤΗ (3D) ΒΡΑΧΥΘΕΡΑΠΕΙΑ)
K514507;ΣΧΕΔΙΑΣΜΟΣ ΔΟΜΩΝ ΕΝΔΙΑΦΕΡΟΝΤΟΣ AKTINOΘΕΡΑΠΕΙΑΣ, ΣΥΝΘΕΤOΣ (ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ)
K514541;ΠΡΟΣΟΜΟΙΩΣΗ ΠΕΔΙΩΝ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΣΕ ΚΛΑΣΣΙΚΟ ΕΞΟΜΟΙΩΤΗ, ΑΠΛΗ ΓΙΑ 2-ΔΙΑΣΤΑΤΟ (2D) ΣΧΕΔΙΑΣΜΟ ΘΕΡΑΠΕΙΑΣ
K514551;ΠΡΟΣΟΜΟΙΩΣΗ ΠΕΔΙΩΝ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΣΕ ΚΛΑΣΣΙΚΟ ΕΞΟΜΟΙΩΤΗ, ΣΥΝΘΕΤΗ ΓΙΑ 3-ΔΙΑΣΤΑΤΟ (3D) ΣΧΕΔΙΑΣΜΟ ΘΕΡΑΠΕΙΑΣ
K514561;ΠΡΟΣΟΜΟΙΩΣΗ ΠΕΔΙΩΝ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΣΕ ΚΛΑΣΣΙΚΟ ΕΞΟΜΟΙΩΤΗ ΜΕ ΧΡΗΣΗ 3-ΔΙΑΣΤΑΤΗΣ ΑΠΕΙΚΟΝΙΣΗΣ (CBCT)
K514571;ΠΡΟΣΟΜΟΙΩΣΗ ΠΕΔΙΩΝ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, 3-ΔΙΑΣΤΑΤΗΣ ΑΠΕΙΚΟΝΙΣΗΣ ΠΑΡΑΓΟΜΕΝΗ ΑΠΟ ΥΠΟΛΟΓΙΣΤΗ (VIRTUAL SIMULATION).
K514579;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ
K514579.1;ΣΥΜΒΟΥΛΕΥΤΙΚΗ ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΗ ΟΓΚΟΛΟΓΟΥ (ΠΡΏΤΟ ΡΑΝΤΕΒΟΥ, ΕΞΩΤΕΡΙΚΟ ΙΑΤΡΕΙΟ, Κ.Α.)
K514581;ΒΑΣΙΚΟΣ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΑΚΤΙΝΟΦΥΣΙΚΗΣ, ΥΠΟΛΟΓΙΣΜΟΣ ΔΟΣΗΣ ΒΑΘΟΥΣ ΚΕΝΤΡΙΚΟΥ ΑΞΟΝΑ, ΥΠΟΛΟΓΙΣΜΟΣ TDF, NSD, GAP, ΠΑΡΑΓΟΝΤΑ ΑΠΟΚΛΙΝΟΝΤΑ ΑΞΟΝΑ, ΠΑΡΑΓΟΝΤΕΣ ΑΝΟΜΟΙΟΓΕΝΕΙΑΣ, ΥΠΟΛΟΓΙΣΜΟΣ ΕΠΙΦΑΝΕΙΑΚΗΣ ΜΗ-ΙΟΝTΙΖΟΥΣΑΣ ΑΚΤΙΝΟΒΟΛΙΑΣ ΚΑΙ ΔΟΣΗΣ ΒΑΘΟΥΣ, ΟΠΩΣ ΑΠΑΙΤΕΙΤΑΙ ΚΑΤΑ ΤΗ ΔΙΑΡΚΕΙΑ ΤΗΣ ΘΕΡΑΠΕΙΑΣ
K514583;ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΚΑΤΑΝΟΜΗΣ ΔΟΣΗΣ ΠΕΔΙΩΝ ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΩΝ ΙΣΤΟΓΡΑΜΜΑΤΩΝ ΟΓΚΟΥ-ΔΟΣΗΣ ΓΙΑ ΣΤΟΧΟ ΚΑΙ ΠΡΟΔΙΑΓΡΑΦΕΣ ΑΝΟΧΗΣ ΚΡΙΣΙΜΩΝ ΔΟΜΩΝ. ΑΠΛΟΣ (ΣΥΜΒΑΤΙΚΗ IMRT)
K514591;ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ. ΑΠΛΟΣ, (1 Ή 2 ΑΝΤΙΘΕΤΑ ΠΕΔΙΑ)
K514601;ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ. ΜΕΣΑΙΟΣ (2 ΜΗ ΑΝΤΙΘΕΤΑ, Ή ΠΕΡΙΣΣΟΤΕΡΑ, ΜΗ-ΣΥΝΕΠΙΠΕΔΑ (3D) ΠΕΔΙΑ, ΕΦΑΠΤΟΜΕΝΑ ΠΕΔΙΑ)
K514611;"ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ. ΣΥΝΘΕΤΟΣ (ΑΝΕΣΤΡΑΜΕΝΟY ""Υ"", ΜΑΝΔΥΑ, ΗΜΙΣΩΜΑΤΙΚΗΣ, ΝΕΥΡΑΞΟΝΑ, ΑΝΤΙΣΤΑΘΜΙΣΤΩΝ, ΣΥΝΘΕΤΩΝ ΜΠΛΟΚΣ, ΠΕΡΙΣΤΡΟΦΙΚΗΣ ΔΕΣΜΗΣ)"
K514623;ΕΙΔΙΚΟΣ ΔΟΣΙΜΕΤΡΙΚΟΣ ΣΧΕΔΙΑΣΜΟΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ ΕΞΩΤΕΡΙΚΗΣ ΔΕΣΜΗΣ ( ΟΛΟΣΩΜΑΤΙΚΗ)
K514633;ΠΛΑΝΟ ΒΡΑΧΥΘΕΡΑΠΕΙΑΣ - ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΙΣΟΔΟΣΙΑΚΩΝ, ΑΠΛΟΣ (ΥΠΟΛΟΓΙΣΜΟΣ ΑΠΟ ΕΝΑ ΕΠΙΠΕΔΟ, 1 ΕΩΣ 4 ΠΗΓΕΣ/ΕΦΑΡΜΟΓΗ ΡΑΒΔΟΥ, ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΜΕΤΑΦΟΡΤΙΣΗΣ ΕΞ ΑΠΟΣΤΑΣΕΩΣ, 1 ΕΩΣ 8 ΕΦΑΡΜΟΓΕΙΣ)
K514635;ΠΛΑΝΟ ΒΡΑΧΥΘΕΡΑΠΕΙΑΣ - ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΙΣΟΔΟΣΙΑΚΩΝ,  ΜΕΣΑΙΟΣ (ΥΠΟΛΟΓΙΣΜΟΙ ΔΟΣΕΩΝ ΠΟΛΛΑΠΛΩΝ ΕΠΙΠΕΔΩΝ, ΕΦΑΡΜΟΓΕΣ ΠΟΥ ΕΜΠΛΕΚΟΥΝ 5 ΕΩΣ 10 ΠΗΓΕΣ/ΡΑΒΔΟΥΣ, ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΜΕΤΑΦΟΡΤΙΣΗΣ ΕΞ ΑΠΟΣΤΑΣΕΩΣ, 9 ΕΩΣ 12 ΕΦΑΡΜΟΓΕΙΣ)
K514637;ΠΛΑΝΟ ΒΡΑΧΥΘΕΡΑΠΕΙΑΣ - ΙΣΟΔΟΣΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ, ΣΥΝΘΕΤΟ (ΥΠΟΛΟΓΙΣΜΟΣ ΔΟΣΕΩΝ ΠΟΛΛΑΠΛΩΝ ΕΠΙΠΕΔΩΝ, ΥΠΟΛΟΓΙΣΜΟΙ ΟΓΚΟΥ ΕΜΦΥΤΕΥΜΑΤΩΝ, ΧΡΗΣΗ ΠΕΡΙΣΣΟΤΕΡΩΝ ΑΠΟ 10 ΠΗΓΩΝ/ΡΑΒΔΩΝ, ΕΙΔΙΚΗ ΧΩΡΙΚΗ ΑΝΑΚΑΤΑΣΚΕΥΗ, ΒΡΑΧΥΘΕΡΑΠΕΙΑ ΜΕΤΑΦΟΡΤΙΣΗΣ ΕΞ ΑΠΟΣΤΑΣΕΩΣ, ΠΕΡΙΣΣΟΤΕΡΟΙ ΑΠΟ 12 ΕΦΑΡΜΟΓΕΙΣ)
K514643;ΕΙΔΙΚΗ ΔΟΣΙΜΕΤΡΙΑ (ΠΧ: TLD, ΔΙΟΔΟΥΣ, IN-VIVO κ.α.)
K514645;ΕΞΑΡΤΗΜΑΤΑ ΘΕΡΑΠΕΙΑΣ, ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΚΑΤΑΣΚΕΥΗ. ΑΠΛΑ (TRAY ΜΕ ΤΥΠΟΠΟΙΗΜΕΝΑ ΜΠΛΟΚ, BOLUS, ΑΠΛO MOUTH BITE, κ.α.)
K514647;ΑΚΙΝΗΤΟΠΟΙΗΣΗ ΣΤΕΡΕΟΤΑΞΙΑΣ, ΜΗ ΕΠΕΜΒΑΤΙΚΗ 
K514649;ΕΞΑΡΤΗΜΑΤΑ ΘΕΡΑΠΕΙΑΣ, ΣΧΕΔΙΑΣΜΟΣ ΚΑΙ ΚΑΤΑΣΚΕΥΗ, ΣΥΝΘΕΤΑ (ΕΞΑΤΟΜΙΚΕΥΜΕΝΑ ΜΠΛΟΚ, ΜΑΣΚΕΣ, ΣΤΡΩΜΑΤΑ, ΕΞΑΤΟΜΙΚΕΥΜΕΝΑ MOUTH BITE, ΑΝΤΙΣΤΑΘΜΙΣΤΕΣ, κ.α.)
K514653;ΣΥΝΕΧΟΜΕΝΗ ΣΥΜΒΟΥΛΕΥΤΙΚΗ, ΤΟΥ ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΗ ΟΓΚΟΛΟΓΟΥ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΕΚΤΙΜΗΣΗΣ ΘΕΡΑΠΕΥΤΙΚΩΝ ΠΑΡΑΜΕΤΡΩΝ, ΑΝΑΣΚΟΠΗΣΗ ΤΕΚΜΗΡΙΩΣΗΣ ΘΕΡΑΠΕΙΑΣ ΑΣΘΕΝΟΥΣ, ΑΝΑΦΕΡΟΜΕΝΗ ΣΕ ΚΑΘΕ ΕΒΔΟΜΑΔΑ ΤΗΣ ΘΕΡΑΠΕΙΑΣ
K514721;ΣΥΝΕΧΟΜΕΝΗ ΣΥΜΒΟΥΛΕΥΤΙΚΗ, ΑΚΤΙΝΟΦΥΣΙΚΟΥ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΠΙΣΤΟΠΟΙΗΣΗΣ ΠΟΙΟΤΗΤΑΣ ΧΟΡΗΓΟΥΜΕΝΗΣ ΔΟΣΗΣ, ΑΝΑΦΕΡΟΜΕΝΗ ΣΕ ΚΑΘΕ ΕΒΔΟΜΑΔΑ ΤΗΣ ΘΕΡΑΠΕΙΑΣ
K514723;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΑΚΤΙΝΟΧΕΙΡΟΥΡΓΙΚΗΣ / ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΚΡΑΝΙΑΚΩΝ ΒΛΑΒΩΝ, 1 - 5 ΣΥΝΕΔΡΙΕΣ, ΜΟΝΑΔΑ ΠΟΛΛΑΠΛΩΝ ΠΗΓΩΝ ΚΟΒΑΛΤΙΟΥ-60  ( ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ)
K514725;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΑΚΤΙΝΟΧΕΙΡΟΥΡΓΙΚΗΣ / ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΚΡΑΝΙΑΚΩΝ ΒΛΑΒΩΝ, 1 - 5 ΣΥΝΕΔΡΙΕΣ, ΜΕ ΓΡΑΜΜΙΚΟ ΕΠΙΤΑΧΥΝΤΗ, ΕΠΕΜΒΑΤΙΚΟ - ΕΠΑΝΑΤΟΠΟΘΕΤΟΥΜΕΝΟ ΠΛΑΙΣΙΟ Ή/ΚΑΙ ΣΤΕΡΕΟΣΚΟΠΙΚΗ ΑΠΕΙΚΟΝΙΣΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗΣ ΚΑΘΟΔΗΓΗΣΗΣ (ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ)
K514727;ΕΦΑΡΜΟΓΗ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΣΩΜΑΤΙΚΗΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ, ΧΟΡΗΓΗΣΗ ΘΕΡΑΠΕΙΑΣ, ΚΛΑΣΜΑΤΙΚΑ ΣΕ 1 Ή ΠΕΡΙΣΣΟΤΕΡΕΣ ΒΛΑΒΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΣΤΕΡΕΟΣΚΟΠΙΚΗΣ ΑΠΕΙΚΟΝΙΣΤΙΚΗΣ Ή/ΚΑΙ ΑΛΛΗΣ ΚΑΤΑΛΛΗΛΗΣ ΚΑΘΟΔΗΓΗΣΗΣ ΚΑΙ ΧΡΗΣΗ ΕΜΦΥΤΕΥΜΕΝΩΝ MARKERS, 1 - 5 ΣΥΝΕΔΡΙΕΣ ( ΠΕΡΙΛΑΜΒΑΝΕΤΑΙ ΟΛΗ Η ΑΠΑΙΤΟΥΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ)
K514779;ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΑΚΤΙΝΟΦΥΣΙΚΟΥ, ΔΟΣΙΜΕΤΡΙΑ, ΣΥΣΚΕΥΕΣ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΕΙΔΙΚΕΣ ΥΠΗΡΕΣΙΕΣ
K514779.1;ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΚΑΤΑΝΟΜΗΣ ΔΟΣΗΣ ΠΕΔΙΩΝ ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ, ΜΕΣΑΙΟΣ (ΟΓΚΟΜΕΤΡΙΚΗ IMRT ΜΕΤΑΒΛΗΤΟΥ ΡΥΘΜΟΥ)
K514779.2;ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΚΑΤΑΝΟΜΗΣ ΔΟΣΗΣ ΠΕΔΙΩΝ ΔΙΑΜΟΡΦΟΥΜΕΝΗΣ ΕΝΤΑΣΗΣ, ΣΥΝΘΕΤΟΣ (ΕΛΙΚΟΕΙΔΗΣ Ή ΟΓΚΟΜΕΤΡΙΚΗ ΙΜRΤ ΜΕΤΑΒΛΗΤΟΥ ΡΥΘΜΟΥ ΜΕ ΠΕΡΙΣΣΟΤΕΡΑ ΑΠΌ 2 ΤΟΞΑ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΤΟΥ ΕΝΟΣ ΙΣΟΚΕΝΤΡΑ)
Κ514779.3;ΣΧΕΔΙΑΣΜΟΣ ΠΛΑΝΟΥ ΘΕΡΑΠΕΙΑΣ ΚΑΙ ΔΟΣΙΜΕΤΡΙΚΟΣ ΥΠΟΛΟΓΙΣΜΟΣ ΚΑΤΑΝΟΜΗΣ ΔΟΣΗΣ ΣΤΕΡΕΟΤΑΚΤΙΚΗΣ ΑΚΤΙΝΟΘΕΡΑΠΕΙΑΣ
K514783;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ, ΕΠΙΦΑΝΕΙΑΚΗ-ΟΡΘΟΔΥΝΑΜΙΚΗ (50 - 300 kV)
K514785;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ , ΜΙΑ ΠΕΡΙΟΧΗ ΘΕΡΑΠΕΙΑΣ, ΈΝΑ Ή ΔΥΟ ΑΝΤΙΘΕΤΑ ΠΕΔΙΑ, ΜΕ Η ΧΩΡΙΣ ΜΠΛΟΚ, ΜΟΝΑΔΑ ΚΟΒΑΛΤΙΟΥ
K514787;ΑΚΤΙΝΟΘΕΡΑΠΕΥΤΙΚΗ ΣΥΝΕΔΡΙΑ , ΜΙΑ ΠΕΡΙΟΧΗ ΘΕΡΑΠΕΙΑΣ, ΈΝΑ Ή ΔΥΟ ΑΝΤΙΘΕΤΑ ΠΕΔΙΑ, ΜΕ  Ή ΧΩΡΙΣ ΜΠΛΟΚ, ΣΕ ΓΡΑΜΜΙΚΟ ΕΠΙΤΑΧΥΝΤΗ, ΧΡΗΣΙΜΟΠΟΙΟΥΜΕΝΗ ΕΝΕΡΓΕΙΑ ΕΩΣ 10 MV
